Customer Number,Customer Name,Address 1,City,State,Zip,Phone 1,Contact Person,Country,Customer Balance,Customer Class,Hold,Sales Territory,Salesperson ID
AARONFIT0001,Aaron Fitz Electrical,One Microsoft Way,Redmond,WA,98052-6399,42555501010000,Bob Fitz,USA,24272.06,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
ADAMPARK0001,Adam Park Resort,Suite 9876,Indianapolis,IN,46206-1391,31755501020000,Roberta Masouras,USA,20800.09,USA-INMI-T2,No,TERRITORY 2,GREG E.
ADVANCED0001,Advanced Paper Co.,456 19th Street S.,Chicago,IL,60603-911,31255501030000,Manoj Monat,USA,327.08,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
ADVANCED0002,Advanced Tech Satellite System,8765 66 Ave.,Toronto,ON,M8D 7R5,41655501040000,Grant Lasko,Canada,4702.2,CAN-ONMBSK-T6,No,TERRITORY 6,GARY W.
ALTONMAN0001,Alton Manufacturing,P.O. Box 3343,Detroit,MI,48233-3343,31355501050000,Jennifer Rossini,USA,68955,USA-INMI-T2,No,TERRITORY 2,GREG E.
AMERICAN0001,American Science Museum,789 North Carlton Place,St. Louis,MO,63115,31455501060000,Andrew MacWilliams,USA,25838.97,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
AMERICAN0002,American Electrical Contractor,3456 North Calumet Avenue,Iowa City,IA,52240-1827,31955501070000,Sue Almassy-Wicker,USA,7800.13,USA-IAKSNE-T3,No,TERRITORY 3,NANCY B.
ASSOCIAT0001,Associated Insurance Company,321 Garden Mall,Lincoln,NE,68502-3090,40255501080000,Dmitry Rodin,USA,1093.04,USA-IAKSNE-T3,No,TERRITORY 3,NANCY B.
ASTORSUI0001,Astor Suites,987 West Alaska Ave,Gary,IN,46401-3455,21955501090000,Business Office,USA,1405.87,USA-INMI-T2,No,TERRITORY 2,GREG E.
ATMORERE0001,Atmore Retirement Center,567 W 7th St.,Bloomington,IL,61701-9392,30955501100000,Jane Donato,USA,13104.14,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
BAKERSEM0001,Baker's Emporium Inc.,789 University Ave,Fort Wayne,IN,46802-3918,21955501110000,Arthur Holmes,USA,9479.69,USA-INMI-T2,No,TERRITORY 2,GREG E.
FOURTHCO0001,Fourth Coffee,345 Industrial Drive,Beatrice,NE,68350-1010,40255501120000,John Thompson,USA,0,USA-IAKSNE-T3,No,TERRITORY 3,NANCY B.
BERRYMED0001,Berry Medical Center,Suite 123,Fond Du Lac,WI,54935-9990,41455501130000,Development Office,USA,50797.1,USA-MNWI-T4,No,TERRITORY 4,SANDRA M.
BOYLESCO0001,Boyle's Country Inn's,1234 Burke,Melbourne,VIC,3000,03955501140000,Sarah Parnell,Australia,17327.65,AUSTRALIA-T8,No,TERRITORY 8,IAN M.
BREAKTHR0001,Breakthrough Telemarketing,3456 Arbutus St.,Montreal,PQ,H3R 3T2,50455501150000,Nancy Dutchak,Canada,13151.65,CAN-PQMT-T5,No,TERRITORY 5,FRANCINE B.
CONTOSOL0001,"Contoso, Ltd.",456 Mineral Point Road,Omaha,NE,68145-2401,40255501160000,Purchasing,USA,80714.12,USA-IAKSNE-T3,No,TERRITORY 3,NANCY B.
CASTLEIN0001,Castle Inn Resort,234 103 Ave.,Ottawa,ON,K4T 8W2,61355501170000,Helen Cholakis,Canada,30039.67,CAN-ONMBSK-T6,No,TERRITORY 6,GARY W.
CELLULAR0001,Cellular Express,5678 Horseshoe Way,Aurora,IL,60507-3322,31255501180000,Michael Harjak,USA,16007.78,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
CENTERSU0001,Center Suite Hotel,8765 51 Ave S,Minneapolis,MN,55401-7694,80055501190000,Mitch Payne,USA,-10218.93,USA-MNWI-T4,No,TERRITORY 4,SANDRA M.
CENTRALC0001,Central Communications LTD,2345 Aukland St. West,Chicago,IL,60601-2333,31255501200000,Mary Weist,USA,-0.58,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
CENTRALD0001,Central Distributing,Suite 13,La Crosse,WI,54601-9975,60855501210000,Donald Fox,USA,21320.53,USA-MNWI-T4,No,TERRITORY 4,SANDRA M.
CENTRALI0001,Central Illinois Hospital,765 West 24th Street,Peoria,IL,61601-4542,30955501220000,Robert Keith,USA,38412.31,USA-ILMO-T1,No,TERRITORY 1,PAUL W.
COMMUNIC0001,Communication Connections,"Place 123, Suite 3",Winnipeg,MB,R3M 2G6,20455501230000,Bernard Bakke,Canada,13706.7,CAN-ONMBSK-T6,No,TERRITORY 6,GARY W.
COMMUNIC0002,Communication Connections,765 Curtis,Vancouver,BC,V6C 3J9,60455501240000,Al Reyko,Canada,9563.59,CAN-ABBCYKNWTT7,No,TERRITORY 7,ERIN J.
COMPUTEC0001,Compu-Tech Solutions,23456 Meridan St. N.E.,Green Bay,WI,54305-5303,41455501250000,Jia Zhou,USA,9836,USA-MNWI-T4,No,TERRITORY 4,SANDRA M.
COMPUTER0001,Computerized Phone Systems,456 17 St S,Madison,WI,53701-6652,60855501260000,Terrence Strauss,USA,15899.89,USA-MNWI-T4,No,TERRITORY 4,SANDRA M.
COMPUTER0002,Computers Unlimited,9876 Bernard St.,Edmonton,AB,T5J 2G5,40355501270000,Purchasing,Canada,4865.22,CAN-ONMBSK-T6,No,TERRITORY 6,GARY W.
COMPUTER0003,Computer Equipment Leasing,123 Churchill Rd,Sydney,NSW,2000,02255501280000,Joan Swift,Australia,6496.96,AUSTRALIA-T8,No,TERRITORY 8,IAN M.
COMTELPA0001,Comtel-Page Inc.,23456 82 Ave.,Ames,IA,50010-3976,51555501290000,Joanna Storsved,USA,22124.31,USA-IAKSNE-T3,No,TERRITORY 3,NANCY B.
CONTINEN0001,Continental Properties,678 Falcon,Sydney,NSW,2000,02955501300000,Robert Hadley,Australia,1228.65,AUSTRALIA-T8,No,TERRITORY 8,IAN M.
